OID_,Aspect,MTSFG,ALT,Wind,Tem,Sun,Pre,NDVI,Night,GPP,ET,Disturb,Water,Road,Rail,CLCD,Sand,Clay,Silt,Slope,long,lat,Relief,Erosion,Rock,DEM,Frozen2005
60,164.628,0.0,1.08912,2.23004,-10.6183,3.96108,1096.92,0.0198083,1.4,7.05057,143.651,0.116175,3783.19,16731.1,114843.0,7.0,80.0,8.0,12.0,19.8279,90.2659,28.2329,24.0,22.0,103.0,5955.0,1.08912
61,307.772,0.0,1.08912,2.22841,-12.7083,3.95962,1098.35,0.00582167,3.2,0.0,157.0,0.1925,4776.24,16334.8,114560.0,7.0,0.0,0.0,0.0,15.5371,90.2761,28.2343,25.0,31.0,-1.0,6124.0,1.08912
62,66.4339,0.0,0.791805,2.22678,-14.4533,3.95816,1099.81,-0.0505867,2.6,0.0,157.0,0.0,5771.7,15980.8,114285.0,6.0,0.0,0.0,0.0,37.9989,90.2862,28.2356,61.0,31.0,-1.0,6258.0,0.791805
63,37.4371,0.0,0.470181,2.22514,-15.78,3.95669,1101.29,-0.0527083,0.8,0.0,157.0,0.0,6768.49,15662.0,114018.0,6.0,0.0,0.0,0.0,39.4341,90.2963,28.2369,68.0,31.0,-1.0,6338.0,0.470181
64,59.9836,0.0,2.16711,2.2424,-8.48667,3.96813,1086.0,0.131803,2.6,21.6394,136.22,0.0,1677.05,19020.6,115434.0,4.0,0.0,0.0,0.0,8.74459,90.2137,28.2349,13.0,22.0,179.0,5793.0,2.16711
65,93.98200000000001,0.0,2.11202,2.24081,-7.16667,3.96667,1087.33,0.0613817,2.0,8.74051,151.9,0.1925,1520.69,18328.1,115109.0,4.0,0.0,0.0,0.0,35.585,90.2238,28.2362,52.0,22.0,144.0,5496.0,2.11202
66,33.5526,0.0,1.86523,2.23921,-6.52167,3.96521,1088.69,-0.122507,3.6,0.0,157.0,0.0,1677.05,17705.2,114791.0,6.0,0.0,0.0,0.0,0.437296,90.2339,28.2375,1.0,22.0,-1.0,5336.0,1.86523
67,57.1452,0.0,2.03094,2.23761,-6.9,3.96375,1090.06,-0.0206333,2.4,3.49169,108.793,0.210196,2304.89,17139.9,114481.0,6.0,0.0,0.0,0.0,6.22579,90.244,28.2392,11.0,22.0,-1.0,5342.0,2.03094
68,254.67,0.0,1.39152,2.236,-9.84,3.96229,1091.46,0.070175,2.8,7.7462,142.638,0.230392,3132.49,16643.7,114180.0,7.0,80.0,8.0,12.0,16.0974,90.2542,28.2405,20.0,22.0,69.0,5785.0,1.39152
69,263.807,0.0,1.39152,2.23439,-11.94,3.96083,1092.88,0.0161533,3.0,5.70581,116.352,0.0,4038.87,16211.5,113886.0,7.0,80.0,8.0,12.0,21.3559,90.2643,28.2418,30.0,22.0,-1.0,6046.0,1.39152
70,306.98,0.0,1.36093,2.23277,-12.7167,3.95937,1094.32,-0.054065,2.4,0.0,157.0,0.1925,4981.21,15832.8,113600.0,6.0,0.0,0.0,0.0,19.403,90.2747,28.2431,32.0,31.0,-1.0,6256.0,1.36093
71,346.128,0.0,0.986087,2.23114,-12.615,3.95791,1095.78,-0.0486667,1.8,0.752288,114.513,0.173053,5942.43,15497.1,113323.0,6.0,0.0,0.0,0.0,18.9178,90.2849,28.2444,24.0,31.0,-1.0,5977.0,0.986087
72,209.337,0.0,0.656264,2.22951,-14.0017,3.95645,1097.27,-0.0533467,2.0,0.0,157.0,0.0464701,6914.66,15194.9,113053.0,6.0,0.0,0.0,0.0,38.7301,90.2947,28.2457,67.0,31.0,-1.0,6097.0,0.656264
73,22.5535,0.0,2.21369,2.24672,-7.855,3.96788,1081.91,0.139322,2.0,16.6411,149.892,0.0,2610.08,18541.2,114490.0,4.0,0.0,0.0,0.0,11.4701,90.212,28.2437,17.0,22.0,174.0,5660.0,2.21369
74,70.6595,0.0,1.65987,2.24514,-6.49333,3.96642,1083.25,0.11551,2.4,0.0,157.0,0.1925,2512.47,17823.7,114162.0,4.0,0.0,0.0,0.0,21.4425,90.2222,28.245,26.0,22.0,147.0,5453.0,1.65987
75,283.571,0.0,1.50496,2.24355,-6.105,3.96496,1084.61,-0.127072,4.2,0.0,157.0,0.0,2610.08,17188.7,113842.0,6.0,47.0,21.0,32.0,1.68886,90.2323,28.2463,2.0,22.0,-1.0,5329.0,1.50496
76,275.399,0.0,1.57446,2.24196,-6.71833,3.9635,1086.0,-0.0813417,2.2,3.97996,110.214,0.4125,3051.64,16623.2,113530.0,6.0,0.0,0.0,0.0,22.4658,90.24270000000001,28.2476,37.0,22.0,-1.0,5308.0,1.57446
77,304.917,0.0,1.57446,2.24036,-9.33,3.96204,1087.4,0.0841317,1.2,12.5364,140.876,0.160089,3716.52,16140.2,113225.0,4.0,80.0,8.0,12.0,6.48604,90.2529,28.249,10.0,22.0,84.0,5727.0,1.57446
78,324.149,0.0,1.70154,2.23875,-10.3483,3.96058,1088.83,0.08737,2.0,9.62306,138.655,0.312879,4451.12,15729.8,112929.0,4.0,80.0,8.0,12.0,7.53071,90.2627,28.2503,11.0,22.0,118.0,5781.0,1.70154
79,346.886,0.0,1.36093,2.23714,-11.815,3.95912,1090.27,0.0161333,0.8,6.7425,129.496,0.184705,5129.57,15375.8,112641.0,7.0,80.0,8.0,12.0,14.7759,90.27310000000001,28.2519,18.0,31.0,123.0,5745.0,1.36093
80,238.166,0.0,0.986087,2.23552,-11.98,3.95766,1091.74,0.0110533,1.0,3.47809,107.624,0.116175,5857.69,15063.6,112361.0,7.0,0.0,0.0,0.0,32.0016,90.2832,28.2532,46.0,31.0,59.0,6019.0,0.986087
81,313.508,0.0,0.783505,2.23389,-13.1767,3.95619,1093.23,-0.0465817,1.0,0.534783,146.124,0.210196,6656.76,14782.0,112089.0,6.0,0.0,0.0,0.0,13.549,90.2934,28.2545,20.0,31.0,119.0,6079.0,0.783505
82,331.3,0.0,2.29952,2.24948,-6.26333,3.96616,1079.15,0.116377,1.2,2.92609,155.8,0.0,2061.55,17345.4,113217.0,4.0,47.0,21.0,32.0,5.44115,90.2208,28.2542,13.0,22.0,168.0,5460.0,2.29952
83,288.467,0.0,1.51619,2.2479,-5.87,3.9647,1080.53,-0.125465,1.4,0.0,157.0,0.0,2061.55,16694.9,112894.0,6.0,47.0,21.0,32.0,1.40153,90.23070000000001,28.2555,3.0,22.0,-1.0,5328.0,1.51619
84,246.339,0.0,1.51619,2.24631,-6.48,3.96324,1081.92,-0.0685267,1.4,5.13,134.517,0.423289,2500.0,16132.5,112579.0,6.0,0.0,0.0,0.0,26.433,90.2411,28.2568,36.0,22.0,173.0,5315.0,1.51619
85,191.178,0.0,1.59352,2.24471,-7.695,3.96178,1083.33,0.0527333,1.2,10.0248,140.726,0.312879,3051.64,15672.4,112272.0,7.0,0.0,0.0,0.0,23.1874,90.2512,28.2581,35.0,22.0,91.0,5597.0,1.59352
86,209.419,0.0,1.79718,2.24311,-9.42667,3.96032,1084.76,0.07668,3.6,13.2162,132.052,0.4125,3716.52,15294.6,111973.0,7.0,80.0,8.0,12.0,18.8417,90.2614,28.2594,32.0,22.0,124.0,5810.0,1.79718
87,199.603,0.0,1.15294,2.24151,-10.7183,3.95886,1086.21,0.0453683,2.6,2.07826,152.59,0.210196,4451.12,14973.6,111683.0,4.0,80.0,8.0,12.0,16.2939,90.2715,28.2607,23.0,22.0,126.0,5905.0,1.15294
88,268.899,0.0,1.13897,2.2399,-11.37,3.9574,1087.68,-0.0792167,3.4,2.04457,103.164,0.173053,5273.76,14690.2,111400.0,6.0,80.0,8.0,12.0,7.28716,90.2816,28.262,14.0,22.0,117.0,5903.0,1.13897
89,210.786,0.0,0.783505,2.23828,-12.3633,3.95593,1089.16,-0.00531667,2.0,1.87131,101.082,0.210196,6149.19,14431.9,111126.0,7.0,0.0,0.0,0.0,31.0185,90.2917,28.2633,47.0,22.0,-1.0,6013.0,0.783505
90,229.523,1.67602,2.29952,2.25225,-5.52,3.96443,1076.43,-0.132443,1.0,0.0,157.0,0.116175,1118.03,16224.1,111946.0,6.0,47.0,21.0,32.0,3.66054,90.2293,28.2643,6.0,22.0,-1.0,5312.0,2.29952
91,271.803,0.0,1.51619,2.25067,-6.395,3.96297,1077.82,-0.037635,1.6,7.88503,126.688,0.1925,1677.05,15671.1,111629.0,6.0,0.0,0.0,0.0,23.2944,90.2395,28.2656,34.0,22.0,172.0,5313.0,1.51619
92,273.171,0.0,1.68678,2.24908,-7.90333,3.96151,1079.24,0.0788583,4.0,11.6048,135.571,0.0929402,2304.89,15251.1,111319.0,4.0,47.0,21.0,32.0,10.826,90.2496,28.2669,14.0,22.0,105.0,5659.0,1.68678
93,310.994,0.0,1.89256,2.24749,-8.98167,3.96005,1080.67,0.137798,0.6,16.1534,126.469,0.0,3051.64,14920.6,111018.0,4.0,47.0,21.0,32.0,9.58467,90.2597,28.2682,14.0,22.0,131.0,5808.0,1.89256
94,202.644,0.0,1.26943,2.24589,-10.175,3.95859,1082.12,0.087195,5.0,9.07366,118.153,0.30639,3913.12,14640.7,110725.0,7.0,80.0,8.0,12.0,8.56095,90.2702,28.2695,12.0,22.0,127.0,5862.0,1.26943
95,41.8874,0.0,1.11592,2.24428,-10.695,3.95713,1083.59,0.0421417,5.2,7.2603,124.389,0.116175,4828.3,14389.3,110440.0,7.0,80.0,8.0,12.0,4.52517,90.2803,28.2708,8.0,22.0,118.0,5813.0,1.11592
96,13.663,0.0,1.11974,2.24267,-11.7867,3.95567,1085.08,0.0293033,1.0,4.19297,111.007,0.251763,5771.7,14102.0,110164.0,7.0,80.0,8.0,12.0,15.5482,90.2901,28.2722,20.0,31.0,129.0,5938.0,1.11974
97,112.689,1.5909,1.69879,2.25661,-5.25333,3.96416,1072.31,-0.00140333,2.2,0.986956,146.205,0.302064,353.553,15776.7,111000.0,7.0,47.0,21.0,32.0,1.8521,90.22770000000001,28.2731,4.0,22.0,-1.0,5304.0,1.69879
98,337.32,0.0,1.64181,2.25504,-6.185,3.9627,1073.72,0.0815933,2.0,10.5184,135.003,0.271806,901.388,15248.6,110680.0,7.0,47.0,21.0,32.0,2.64536,90.2382,28.2744,3.0,22.0,185.0,5317.0,1.64181
99,283.179,0.0,1.68678,2.25345,-7.425,3.96124,1075.14,0.098305,0.4,12.7633,142.417,0.0,1677.05,14901.0,110368.0,4.0,47.0,21.0,32.0,11.0719,90.2483,28.2757,15.0,22.0,152.0,5607.0,1.68678
100,326.192,0.0,1.89256,2.25187,-8.66667,3.95978,1076.57,0.139895,1.4,16.5158,131.341,0.0,2610.08,14633.3,110064.0,4.0,47.0,21.0,32.0,10.8461,90.25810000000001,28.2771,17.0,22.0,140.0,5745.0,1.89256
101,345.631,0.0,1.48784,2.25028,-9.15,3.95832,1078.03,0.0769067,1.6,8.29478,116.518,0.199579,3579.46,14397.3,109768.0,7.0,47.0,21.0,32.0,20.0777,90.2685,28.2784,24.0,22.0,128.0,5767.0,1.48784
102,71.9092,0.0,1.87069,2.24868,-9.61667,3.95686,1079.5,0.07934,0.8,7.97907,125.58,0.159027,4562.07,14175.8,109481.0,7.0,80.0,8.0,12.0,20.5329,90.2787,28.2797,25.0,22.0,142.0,5794.0,1.87069
103,321.947,0.0,1.87069,2.24708,-10.585,3.9554,1080.99,0.0518617,2.8,7.55585,117.515,0.116175,5550.9,13774.7,109202.0,7.0,80.0,8.0,12.0,28.0662,90.2888,28.281,42.0,22.0,130.0,5819.0,1.87069
104,314.752,1.76565,0.0,2.25941,-5.385,3.96242,1069.6,0.105802,0.8,12.771,135.67,0.0,500.0,14913.6,109731.0,4.0,47.0,21.0,32.0,6.73785,90.2365,28.2833,17.0,22.0,200.0,5336.0,1.76565
105,285.118,0.0,2.33912,2.25783,-7.10667,3.96096,1071.02,0.124187,0.8,14.7781,143.841,0.0,1500.0,14681.2,109417.0,4.0,47.0,21.0,32.0,10.237,90.2467,28.2846,14.0,22.0,161.0,5545.0,2.33912
